date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:07:04	132/132	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Feb%202024%2000:07:03%20GMT	https://mop-shoot.tauri.hu/robots.txt		(from )
01:07:04	4698/4698	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2016%20Feb%202024%2000:07:03%20GMT	https://mop-shoot.tauri.hu/	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/index.html	(from )
01:07:23	825/825	U-----	200	untouched ('')	image/x-icon	etag:%2258582c2f-339%22	https://mop-shoot.tauri.hu/templates/wowhead/images/favicon.ico	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/favicon.ico	(from https://mop-shoot.tauri.hu/)
01:07:24	149599/149599	U-----	200	untouched ('OK')	text/css	etag:%225aa66c79-2485f%22	https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/css/global4cd7.css	(from https://mop-shoot.tauri.hu/)
01:07:24	1987/1987	U-----	200	untouched ('OK')	text/css	etag:%2258582c2f-7c3%22	https://mop-shoot.tauri.hu/templates/wowhead/css/locale_enus.css?1482173487	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/css/locale_enus5bf0.css	(from https://mop-shoot.tauri.hu/)
01:07:24	72174/72174	U-----	200	untouched ('')	application/javascript	etag:%2258582c30-119ee%22	https://mop-shoot.tauri.hu/templates/wowhead/js/jquery-2.1.0.js?1482173488	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/jquery-2.1.036ef.js	(from https://mop-shoot.tauri.hu/)
01:07:24	200719/200719	U-----	200	untouched ('')	application/javascript	etag:%2258582c30-3100f%22	https://mop-shoot.tauri.hu/templates/wowhead/js/jquery-ui.js?1482173488	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/jquery-ui36ef.js	(from https://mop-shoot.tauri.hu/)
01:07:24	358894/358894	U-----	200	untouched ('')	application/javascript	etag:%225afec058-579ee%22	https://mop-shoot.tauri.hu/templates/wowhead/js/locale_enus.js?1526644824	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/locale_enusd468.js	(from https://mop-shoot.tauri.hu/)
01:07:24	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Feb%202024%2000:07:23%20GMT	https://mop-shoot.tauri.hu/templates/wowhead/images/rss.gif	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/images/rss.gif	(from https://mop-shoot.tauri.hu/templates/wowhead/css/global.css?1520856185)
01:07:25	599047/599047	U-----	200	untouched ('')	application/javascript	etag:%225d42bf01-92407%22	https://mop-shoot.tauri.hu/templates/wowhead/js/global.js?1564655361	F:/git/mop-archive.portal/mop-archive/mop-shoot.tauri.hu/templates/wowhead/js/globalb944.js	(from https://mop-shoot.tauri.hu/)
